feedback,aspect,sentiment
thầy cô cung cấp đầy đủ đề cương giáo trình,1,Positive
thầy cô bám bám sát nội dung môn học trong từng phần chương,1,Positive
thầy có kinh nghiệm phong phú,2,Positive
dễ hiểu hấp dẫn sinh động tạo hứng thú học tập,2,Positive
thầy nhiệt tình và có trách nhiệm với học viên,2,Positive
bài tập hay mang tính ưng dụng cao,1,Positive
thầy vào ra lớp đúng giờ,2,Positive
máy tính thực hành hay bi đứng máy,3,Negative
rất tốt rất đầy đủ,1,Positive
có rất nhiệt tình,2,Positive
dạy chậm dễ hiểu đúng tiến độ,2,Positive
thầy cô chủ động tương tác với học viên trong giờ học,2,Positive
bài tập phù hợp với quá trình học,1,Positive
không,2,Neutral
thầy cô vào ra lớp đúng giờ,2,Positive
máy chưa được tốt lắm,3,Negative
không,4,Neutral
đầy đủ ạ,1,Positive
thầy dạy có tâm lắm ạ,1,Positive
thầy giải đáp tốt các thắc mắc của học viên ạ,2,Positive
dễ hiểu ạ,2,Positive
thầy rất nhiệt tìng giúp đỡ học viên ạ,2,Positive
ổn ạ,2,Neutral
thầy thực hiện giảng dạy đúng thời khóa biểu ạ,2,Neutral
ổn ạ,3,Neutral
cập nhật bàn phím phòng máy ạ,4,Negative
đề cương chi tiết,1,Neutral
nội dung rõ ràng,1,Neutral
có thày giảng rất hay,2,Positive
hấp dẫn hài hước,2,Positive
thầy rất thân thiện,2,Positive
đủ,1,Neutral
hợp lí,2,Neutral
đúng giờ,2,Neutral
máy lạnh quá lạnh,3,Negative
không có,4,Neutral
cung cấp đầy đủ tài liệu,1,Positive
bám sát nội dung bài học chỉ dạy nhiệt tình,1,Positive
tốt,2,Positive
không có,2,Neutral
bài tập bám sát bài học,1,Positive
công bằng,2,Positive
tốt,3,Positive
thầy cô cung cấp đầy đủ tài liệu,1,Positive
thầy cô bám bám sát nội dung môn học,1,Positive
giảng hay,2,Positive
dễ hiểu,2,Positive
tận tâm giảng bài,2,Positive
không,1,Neutral
thầy cô thực hiện giảng dạy theo đúng thời khóa biểu,2,Positive
phòng quá lạnh máy tính cũ chương trình cũ hay lag,3,Negative
mong nhà trường có thể nâng cấp các chương trình văn phòng,4,Negative
dạ có,1,Neutral
dạ có,2,Neutral
dạ bài tập quá đầy đủ,1,Positive
dạ bình thường,2,Neutral
đầy đủ,3,Positive
dạ không có,4,Negative
cung cấp đủ đề cương học tập,1,Positive
có bám sát nội dung bài giảng bài học dạy từng phần đầy đủ,1,Positive
lồng ghép và giảng dạy dễ hiểu dễ tiếp thu kiến thức,2,Positive
phương pháp giảng dạy dễ áp dụng đơn giản dễ hiểu nhất,2,Positive
giảng viên chủ động tương tác với sinh viên chỉ và giảng lại trực tiếp nội dung sinh viên chưa tiếp thu kịp,2,Positive
số lượng bài tập phù hợp nội dung bài tập đa dạng để ôn tập,1,Positive
không có ý kiến,2,Neutral
giảng viên và sinh viên ra vào lớp có giờ giấc đúng quy định của trường học,2,Positive
thiết bị dạy và học được trang bị đầy đủ có điều con chuột và bàn phím máy tính không được nhậy cho lắm dẫn đến thao tác chậm,3,Negative
không có ý kiến,4,Neutral
thầy khánh vinh cung cấp đầy đủ đề cương chi tiết,1,Positive
thầy bám sát nội dung bài học giảng bài dễ hiểu khoa học rõ ràng ân cần chi tiết,1,Positive
giảng bài dễ hiểu bám sát bài học,2,Positive
dễ hiểu hấp dẫn thân thiện tạo cảm giác thích thú khi học chỉ dẫn tận tình,2,Positive
thân thiện vui vẻ tương tác với học viên trong giờ học,2,Positive
cung cấp đầy đủ,1,Positive
công bằng rõ ràng,2,Positive
vào ra lớp đúng giờ,2,Positive
thầy cung cấp đầy đủ tài liệu học tập,1,Positive
thầy dạy rõ ràng chuyên nghiệp,1,Positive
đưa nội dung thực tiễn bám sát vào bài giảng,2,Positive
thầy vinh dạy dễ hiểu sinh động hấp dẫn,2,Positive
thầy nhiệt tình giúp đỡ sinh viên vui vẻ chủ động,2,Positive
cung cấp đầy đủ bài tập,1,Positive
thầy thực hiện đúng quy định của nhà trường,2,Positive
máy hay bị tắt,3,Negative
mong nhà trường tạo điều kiện cho sinh viên để đạt chứng chỉ tin học,4,Neutral
rất đầy đủ,1,Positive
liên quan với môn đúng tiêu chuẩn,1,Positive
dễ nghe và dễ hiểu,2,Positive
rất dễ tiếp thu,2,Positive
thân thiện nhiệt tình tận tâm,2,Positive
tương đối ổn,1,Neutral
nghiêm túc đúng giờ,2,Positive
đạt tiêu chuẩn,3,Positive
thầy cung cấp đủ đề cương giảng bài nhiệt tình giải đáp tất cả thắc mắc chi tiết dễ hiểu,1,Positive
dạy dễ hiểu kĩ càng,1,Positive
thầy hiền vui tính giảng dạy dễ hiểu nhiệt tình,2,Positive
nhiệt tình có trách nhiệm,2,Positive
đầy đủ bài tập với các dạng để luyện tập,1,Positive
thầy đúng giờ ra về đúng giờ,2,Positive
ổn,3,Positive
thầy rất tận tâm và chỉ dậy nhiệt tình vào rất dễ thương ạ,1,Positive
rất bán sát nội dung ôn rất kỹ từng phần dễ hiểu,1,Positive
rất kinh nghiệm,2,Positive
đúng tiến độ dễ hiểu vui vẻ ạ,2,Positive
rất nhiệt tình chỉ bài sinh viên hỏi đâu chỉ đó còn nhắc về nhà làm bài nhiều lần rất có tâm ạ,2,Positive
vừa đủ,1,Neutral
10 10,2,Neutral
thầy rất đúng giờ,2,Positive
mấy nhiều khi bị lỗi,3,Negative
thầy cung cấp đầy đủ đề cương bài tập nhiệt tình,1,Positive
thầy giảng bài nhiệt tình,1,Positive
thầy rất nhiệt tình,2,Positive
dễ hiểu quan tâm sinh viên,2,Positive
nhiệt tình,2,Positive
bài tập cụ thể,1,Positive
không biết vì chưa thi,2,Neutral
tạm ổn tuy nhiên bàn phím quá cứng,3,Negative
mong muốn một bàn phím mềm mại,4,Negative
thầy cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn,1,Positive
thầy bám bám sát nội dung môn học trong từng phần chương bài khoa học rõ ràng chuyên nghiệp cập nhật kiến thức mới cách làm mới cho học viên,1,Positive
thầy đưa ra nhiều kinh nghiệm hữu ích cho học viên,2,Positive
dễ hiểu kỹ lưỡng kiên nhẫn với học viên,2,Positive
